,ASIN,title,price,rating,image,url,category
0,B0CTHF9Y5Q,Women's Tyler Ribbed Sweater Skirt,49.9,4.3,https://m.media-amazon.com/images/I/71yMQKuyo8L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
1,B0D4MPBVSN,A-Line Midi Skirts for Women- High Waist Knee Length Casual Flared Flowy Skirt Made in USA,19.99,3.9,https://m.media-amazon.com/images/I/41plrXb1m4L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
2,B0BR8NDY9F,Maxi Skirt for Women- Comfy Foldover High Waist Long Flare A-Line Skirt Maxi Dress XS-3X Made in USA,19.99,4.1,https://m.media-amazon.com/images/I/31Xyo68kQ2L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
3,B011K36PTA,Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt,16.75,4.5,https://m.media-amazon.com/images/I/61fIzCQod0L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
4,B0BF5NRW9P,Womens High Waist Plaid Skirt Bodycon Pencil Wool Mini Skirts,29.98,4.2,https://m.media-amazon.com/images/I/71B5qLsHa6L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
5,B0BFKQJTT2,Women's Mini Pleated Skirts Sexy Club Y2k High Wiast Stretchy Tennis Skater A-line Skirt,19.99,4.2,https://m.media-amazon.com/images/I/51a0E2T6eGL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
6,B0CPLJRXSD,Women 2 Piece Skirts 2 in 1 Flowy Basic Versatile Stretchy Flared Casual Mini Skirts,28.99,4.2,https://m.media-amazon.com/images/I/61GrLAKu3FL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
7,B08CN9KYS6,Women's Sexy High Waist Solid Tight Ruched Bodycon Mini Club Skirt,23.99,4.4,https://m.media-amazon.com/images/I/41oUjU5GzFL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
8,B0BK6SBYKQ,Womens Black Mini Skirt High Waist High Slit Sexy Bodycon Mini Skirt 0290……,23.99,4.0,https://m.media-amazon.com/images/I/61FuGLiiZsL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
9,B0B8QX3CYK,Mini Skirt for Women Sexy Solid Ruffle Trim Lingerie Skirt Short High Waist Two Layer Hem Skirt,21.99,4.1,https://m.media-amazon.com/images/I/61qKxnJMKCL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
10,B0D7PF2SBS,"Leopard Cheetah Skirt with Shorts, Sexy Night Club High Waist Elastic Leopard Print Bodycon Mini Skirts for Women",19.99,3.9,https://m.media-amazon.com/images/I/61vKvqAu-kL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
11,B0CWKM2S67,High Waist Zip Up Slit Mini Skirt,29.99,4.4,https://m.media-amazon.com/images/I/61x9FosUiPL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
12,B0CRZ6242M,Women Cargo Mini Skirt Denim Jean Dress with Pocket,29.99,4.2,https://m.media-amazon.com/images/I/61R9kVDT3HL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
13,B0BP28F7DR,Women's Cute High Waist Ruffle Mini Skirt Layered Ruffle Hem Flared Flowy Casual Swing Beach Mini Short Skirt,27.99,4.0,https://m.media-amazon.com/images/I/61dNJSppE9L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
14,B0CR9ZVGP6,Womens Square Neck Tennis Dress Short Sleeve Built in Shorts Golf Athletic Dress with Pockets,36.99,4.3,https://m.media-amazon.com/images/I/61UM39Ck0PL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
15,B08KW9FRJ6,Womens Girl High Waisted Pleated Tennis Skirt School A-Line Skater Skirts with Lining Shorts,19.67,4.0,https://m.media-amazon.com/images/I/61q3vTubnaL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
16,B08JH6GVBY,Women's Pull-On Knit Midi Skirt (Available in Plus Size),18.5,4.2,https://m.media-amazon.com/images/I/71WI297PQML._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
17,B0B5Y66BWH,Women's Summer Cute High Waist Ruffle Skirt Floral Print Swing Beach Mini Skirt,28.99,4.2,https://m.media-amazon.com/images/I/8174QH1GZ3S._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
18,B0D83W4LTD,Maxi Skirts for Women with Pockets Long Midi Length Casual Skirt for Beach Party Holiday Halloween,19.99,4.4,https://m.media-amazon.com/images/I/51xy3QIInPL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
19,B0BTYDQ8FJ,Skirts for Women Boho Elastic Waisted Drawstring Swing Ruched 3 Tiered Maxi Skirt with Pockets,32.99,4.4,https://m.media-amazon.com/images/I/710p-4+5kkL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
20,B0914SCS96,Women's Pleated Skater Skirt Basic Casual High Waisted Ruffles Flared Mini Lingerie Skirts,14.13,4.0,https://m.media-amazon.com/images/I/71Bx4JWyDSL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
21,B084RN3VNK,Women High Elastic Waist Pleated Chiffon Skirt Midi Swing A-line Skirts,34.99,4.4,https://m.media-amazon.com/images/I/619MNWAQjBL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
22,B0BZS6KY7K,Womens Skirt Leopard Print Midi Long Shirring Skirts High Waisted A Line Skirts,21.99,4.3,https://m.media-amazon.com/images/I/61b6tZ8mHvL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
23,B0C65JP92D,2024 Women Long Satin Summer Fall Skirt Silk Elegant High Waist Cocktail Party Wedding Flared A-Line Midi Skirts,34.99,4.1,https://m.media-amazon.com/images/I/61IxX-otv3L._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
24,B0CKQYBXDN,Women's Athletic Tennis Skorts with Pockets Built-in Shorts Golf Active Skirts for Sports Running Gym Training,21.98,4.4,https://m.media-amazon.com/images/I/71vn1VfIFLL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
25,B0CZ8Y3S3B,Women's Cargo Skort High Waisted Cargo Shorts Button Bodycon Mini Y2K Denim Cargo Skirt Shorts with Pocket,25.99,4.1,https://m.media-amazon.com/images/I/810AXZDBUJL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
26,B010DPH9LO,Basic Solid Stretchy Cotton High Waist A-line Flared Casual Skater Mini Skirt,12.98,4.4,https://m.media-amazon.com/images/I/616Y25xXcAL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
27,B08HQW8HBZ,2 Pack Wear to Work Pencil Skirts for Women Elastic High Waist Wrap Front Bodycon Midi Skirt,45.99,4.1,https://m.media-amazon.com/images/I/61EdzzgHYhL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
28,B091F9SWNL,Women Sexy Pleated Mini Skirt Solid Ruffle Lingerie Skirts,23.99,4.4,https://m.media-amazon.com/images/I/61Guztab28S._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
29,B07J27DN6W,Women Pleated Mini Skirt Solid Ruffle Lingerie Skirts,24.99,4.5,https://m.media-amazon.com/images/I/71Z7NC+0DjL._AC_UL320_.jpg,https://www.amazon.com/s?k=skirt&i=fashion,i=fashion
