,ASIN,title,price,rating,image,search_url,product_url,category,keyword
0,B0D4RC8XST,"HP 14"" HD Laptop | Back to School Limited Edition with 1 Year Microsoft 365 | Intel Quad-Core Processor | Long Battery Life | w/WOWPC Bundle | Windows 11 (Pink, 8GB RAM | 576GB Storage)",389.0,4.1,https://m.media-amazon.com/images/I/71qMQjM38XL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0D4RC8XST,computers,laptop
1,B0DCSYTVDD,"HP Newest 255 G10 Laptop for Home or Work, 16GB RAM, 1TB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beat Intel i5-1135G7), Ethernet Port, HDMI, USB-C, Windows 11 Pro, Business and Fun Ready (2024)",448.88,4.3,https://m.media-amazon.com/images/I/71zPy+igkzL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0DCSYTVDD,computers,laptop
2,B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",279.99,4.4,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0BS4BP8FB,computers,laptop
3,B0DFLHNVKM,"16.0-inch Laptop, 16GB DDR4 512GB SSD, Newest Windows 11 Laptop with Intel 12th Gen Alder Lake N97(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",379.99,5.0,https://m.media-amazon.com/images/I/71Ls2+M7TSL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0DFLHNVKM,computers,laptop
4,B0B2D77YB8,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",245.0,4.0,https://m.media-amazon.com/images/I/81divYKpeTL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0B2D77YB8,computers,laptop
5,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",176.0,4.0,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0947BJ67M,computers,laptop
6,B0DFM2XCZ6,Laptop Computer AMD Ryzen 7 5700U Gaming Laptop 16GB DDR4 512GB M.2 2280 NVMe SSD Windows Laptop Office Laptops Home Laptops Windows11 16.1-inch IPS FHD WIFI6 BT5.2 HDMI Type-C USB3.2,599.99,5.0,https://m.media-amazon.com/images/I/71-Ue+YHz7L._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0DFM2XCZ6,computers,laptop
7,B0DJK7YPF1,"15.6 Inch Laptops, Windows 11 Laptop Computer with 4GB RAM 128GB SSD, Expandable 4TB, Celeron N5095 Quad-Core(Up to 2.9GHz), 1 Year Office 365, WiFi 6, 7000mAh Battery, USB 3.2, HDMI, Type-C",199.97,4.2,https://m.media-amazon.com/images/I/71OVkSG8lZL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0DJK7YPF1,computers,laptop
8,B0CPL25J3W,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",190.35,4.1,https://m.media-amazon.com/images/I/61IpRGnny7L._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0CPL25J3W,computers,laptop
9,B0DCSYTVDD,"HP Newest 255 G10 Laptop for Home or Work, 16GB RAM, 1TB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beat Intel i5-1135G7), Ethernet Port, HDMI, USB-C, Windows 11 Pro, Business and Fun Ready (2024)",448.88,4.3,https://m.media-amazon.com/images/I/71zPy+igkzL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&i=computers,https://www.amazon.com/dp/B0DCSYTVDD,computers,laptop
